65398,earth,2003-03-20T14:55:35.000Z,[Mostly harmless].,http://earth.urbanup.com/65398,
133702,earth,2003-05-21T03:01:38.000Z,"The place that the [human race] has for [thousands] of years tried to destroy, and are finally [getting it] right..",http://earth.urbanup.com/133702,[Nuke]`s are [nice]
2332298,earth,2007-03-28T06:42:10.000Z,[The biggest] [planet] in [the world],http://earth.urbanup.com/2332298,[Earth] is like [the biggest] [planet]  in our world man!
2865208,earth,2008-02-19T20:49:45.000Z,A very dangerous place as every [living thing] on [the planet] eventually [dies],http://earth.urbanup.com/2865208,[Earth] is a [hazard] to all [people]
2603001,earth,2007-09-24T02:36:33.000Z,a word used by [five] [percenters] to refer to [females].,http://earth.urbanup.com/2603001,"""My [old earth] is fuckin [wit] [the god]."""
1300617,earth,2005-06-04T14:01:55.000Z,"[George Bush's] favourite [game boy] game.
When [georgey] lad gets bored he invades a country here and there.
This planet is beautiful and needs respect, not him and his ""peace-keepers"" to go and kill inoccent people and burn all that oil",http://earth.urbanup.com/1300617,"Eventually, [the neo] nazi george will fall.
More than likely he will take everyone [down with] him [the bastard]"
119896,earth,2003-05-07T13:11:52.000Z,The [offical] [breeding] ground of [the human race].,http://earth.urbanup.com/119896,
1299933,earth,2005-06-04T03:07:31.000Z,"A pointless [lump] of [rotating] rock where chavs rule the innocent bystandrs and cause misery and [mayhem], without which all shrinks would be unemployed.",http://earth.urbanup.com/1299933,It all comes down to [chavs].
2681983,earth,2007-11-10T02:27:24.000Z,"a planet full of queers
who think that life isn't about
doing what's right vs. doing what's wrong 
but instead they think it's about 
how much ass you can kiss in order
to get ahead [and that there] is no such thing
as [right or wrong]

in other words they're all good [little nazi] assholes
who follow orders by kissing all the right asses
and do not care how evil the outcome of that is

That's pretty fucked up right there!",http://earth.urbanup.com/2681983,earth         is         [doomed] ...
890446,earth,2004-11-08T14:05:05.000Z,your [baby momma]; the [main one] who knows you; [ya'll] together but ain't married,http://earth.urbanup.com/890446,"yo, [honey] is my earth, she [got a nigga] [grounded]"
791318,eyo,2004-08-12T10:47:18.000Z,"[shoutout] to someone...[beginning] a conversation...""eyo, [wuttup]"". Calling a friend to attention.

eyo (hEY YOu)",http://eyo.urbanup.com/791318,"eyo, [wuttup]? eyo,[come here] eyo, what your name? eyo,you wanna [start something]?"
15623580,eyo,2020-12-31T22:52:00.241Z,"E- [Eating]
Y- You
[O-] Out

Eating a girls vagina [aka] pussy.",http://eyo.urbanup.com/15623580,"[James]: I want to eyo.
[Jasmine]: Ok, [cum over]."
14793967,eyo,2020-03-11T16:06:50.010Z,"[stands] for ""[eat you out]""",http://eyo.urbanup.com/14793967,"hey [babe], when you [going] [to let] me eyo"
2425262,EYO,2007-05-19T11:13:18.000Z,[eyo] -> fast way of [sayin] [hey yo],http://eyo.urbanup.com/2425262,"[Joe]: [eyo] [waz good]?
"
3720222,EYO,2009-02-13T22:40:58.000Z,"E = [Eat]([ing])
Y = You
O = Out

To [eat] a girl out.",http://eyo.urbanup.com/3720222,"""[Hey girl], I'm gonna EYO tonight""
[__]

""[Shush girl], I'm EYO I can't talk""

"
179068,EYO,2003-07-11T11:07:59.000Z,"when your [driving] off and you're like ""E. Y. O. !!!!!!!!!""",http://eyo.urbanup.com/179068,"[Hey man], [why don't you] EYO into [oblivion]."
228093,EYO,2003-08-26T11:49:47.000Z,to [eyo],http://eyo.urbanup.com/228093,[I like] to [eyo].
970457,EYO,2004-12-31T02:01:09.000Z,[Blurted] out really fast in [sequence] to [annoy] or to sound rastarfarian.,http://eyo.urbanup.com/970457,[RP]: That [Sean Paul] is giving me a [headache].
